id,fileName,genre,feeling,Arousal,Attention,Certainty,Commitment,Dominance,Enjoyment,Identity,Obstruction,Safety,Valence,Familiarity,url,A,B,C,D,E,F,G,H,I,J,K,L,M
1,01 - Tree Dance&1.mp3,E,"57% Calm, relaxing, serene, 54% Dreamy, 29% Beautiful, 21% Romantic, loving, 18% Entrancing, 14% Compassionate, sympathetic, 14% Joyful, cheerful, 14% Tender, longing, 7% Annoying, 7% Awe-inspiring, amazing, 7% Eerie, mysterious, 7% Sad, depressing, 7% Transcendent, mystical, 4% Amusing, 4% Anxious, tense, 4% Bittersweet, 4% Energizing, pump-up, 4% Erotic, desirous, 4% Goose bumps",5.5,6.8,6.1,5.7,4.0,5.7,5.3,3.3,6.5,6.4,4.8,https://www.amazon.com/dp/B00B6N6U9K/,0.04,0.07,0.04,0.29,0.57,0.54,0.04,0.04,0.0,0.14,0.07,0.0,0.0
2,04F4xlWSFh0_18.mp3,G,"42% Energizing, pump-up, 25% Proud, strong, 22% Exciting, 17% Indignant, defiant, 14% Anxious, tense, 11% Euphoric, ecstatic, 11% Painful, 11% Triumphant, heroic, 8% Annoying, 8% Nauseating, revolting, 6% Eerie, mysterious, 6% Entrancing, 6% Scary, fearful, 3% Amusing, 3% Angry, 3% Dreamy, 3% Goose bumps",4.9,3.8,4.6,4.2,5.4,3.9,5.5,4.5,3.6,4.4,5.3,https://www.youtube.com/watch?v=04F4xlWSFh0,0.03,0.08,0.14,0.0,0.0,0.03,0.42,0.0,0.17,0.0,0.0,0.06,0.11
3,04F4xlWSFh0_75.mp3,G,"50% Energizing, pump-up, 35% Exciting, 31% Proud, strong, 19% Annoying, 19% Indignant, defiant, 15% Angry, 15% Anxious, tense, 15% Painful, 15% Scary, fearful, 15% Triumphant, heroic, 12% Eerie, mysterious, 8% Euphoric, ecstatic, 8% Joyful, cheerful, 8% Nauseating, revolting, 4% Beautiful, 4% Bittersweet, 4% Calm, relaxing, serene, 4% Dreamy",7.6,4.8,5.2,4.4,7.5,4.4,6.2,4.9,4.6,5.5,6.1,https://www.youtube.com/watch?v=04F4xlWSFh0,0.0,0.19,0.15,0.04,0.04,0.04,0.5,0.0,0.19,0.08,0.0,0.15,0.15
4,05UApr2UQHQ_227.mp3,F,"20% Calm, relaxing, serene, 20% Energizing, pump-up, 14% Dreamy, 11% Beautiful, 11% Euphoric, ecstatic, 11% Joyful, cheerful, 9% Amusing, 9% Anxious, tense, 9% Entrancing, 9% Exciting, 9% Transcendent, mystical, 6% Annoying, 6% Awe-inspiring, amazing, 6% Eerie, mysterious, 6% Erotic, desirous, 3% Bittersweet, 3% Compassionate, sympathetic, 3% Nauseating, revolting, 3% Proud, strong, 3% Romantic, loving, 3% Triumphant, heroic",5.1,4.7,5.2,5.1,4.3,5.4,4.3,4.5,5.6,5.5,3.9,https://www.youtube.com/watch?v=05UApr2UQHQ,0.09,0.06,0.09,0.11,0.2,0.14,0.2,0.06,0.0,0.11,0.0,0.0,0.03
5,073TNjLc070_40.mp3,G,"29% Energizing, pump-up, 25% Erotic, desirous, 21% Exciting, 18% Joyful, cheerful, 14% Amusing, 14% Annoying, 14% Beautiful, 14% Dreamy, 14% Eerie, mysterious, 11% Compassionate, sympathetic, 11% Euphoric, ecstatic, 11% Transcendent, mystical, 7% Entrancing, 4% Awe-inspiring, amazing, 4% Calm, relaxing, serene",6.1,3.7,5.1,4.3,5.3,5.9,4.8,3.9,4.9,6.1,4.7,https://www.youtube.com/watch?v=073TNjLc070,0.14,0.14,0.0,0.14,0.04,0.14,0.29,0.25,0.0,0.18,0.0,0.0,0.0
6,0DugzooGWKk_1.mp3,J,"31% Calm, relaxing, serene, 29% Joyful, cheerful, 17% Compassionate, sympathetic, 17% Proud, strong, 14% Beautiful, 11% Exciting, 9% Bittersweet, 9% Dreamy, 9% Energizing, pump-up, 9% Entrancing, 9% Romantic, loving, 9% Tender, longing, 6% Awe-inspiring, amazing, 6% Euphoric, ecstatic, 3% Amusing, 3% Anxious, tense",5.9,6.2,6.2,5.8,4.6,6.8,5.9,3.4,6.5,7.0,6.3,https://www.youtube.com/watch?v=0DugzooGWKk,0.03,0.0,0.03,0.14,0.31,0.09,0.09,0.0,0.0,0.29,0.0,0.0,0.0
7,0HDdjwpPM3Y_10.mp3,G,"57% Energizing, pump-up, 43% Joyful, cheerful, 40% Exciting, 23% Amusing, 20% Euphoric, ecstatic, 13% Entrancing, 13% Erotic, desirous, 10% Proud, strong, 7% Annoying, 7% Awe-inspiring, amazing, 7% Calm, relaxing, serene, 3% Dreamy, 3% Indignant, defiant, 3% Triumphant, heroic",6.4,5.3,6.3,5.3,4.9,5.1,6.3,3.0,5.5,5.8,6.1,https://www.youtube.com/watch?v=0HDdjwpPM3Y,0.23,0.07,0.0,0.0,0.07,0.03,0.57,0.13,0.03,0.43,0.0,0.0,0.03
8,0QBx-TRKhVs_25.mp3,C,"20% Anxious, tense, 20% Energizing, pump-up, 20% Entrancing, 17% Annoying, 17% Joyful, cheerful, 14% Exciting, 14% Proud, strong, 11% Amusing, 11% Eerie, mysterious, 6% Bittersweet, 6% Nauseating, revolting, 6% Transcendent, mystical, 3% Angry, 3% Dreamy, 3% Euphoric, ecstatic, 3% Romantic, loving",5.4,5.2,5.3,4.5,5.3,4.4,5.0,4.2,4.7,4.9,5.1,https://www.youtube.com/watch?v=0QBx-TRKhVs,0.11,0.17,0.2,0.0,0.0,0.03,0.2,0.0,0.0,0.17,0.0,0.0,0.0
9,0S43IwBF0uM_60.mp3,G,"46% Energizing, pump-up, 21% Exciting, 11% Dreamy, 11% Entrancing, 11% Euphoric, ecstatic, 11% Joyful, cheerful, 11% Transcendent, mystical, 7% Anxious, tense, 7% Awe-inspiring, amazing, 7% Calm, relaxing, serene, 7% Eerie, mysterious, 7% Proud, strong, 7% Tender, longing, 7% Triumphant, heroic, 4% Annoying, 4% Bittersweet, 4% Erotic, desirous, 4% Nauseating, revolting, 4% Romantic, loving",5.8,4.6,5.1,4.9,4.3,5.2,5.2,4.1,5.5,5.4,4.9,https://www.youtube.com/watch?v=0S43IwBF0uM,0.0,0.04,0.07,0.0,0.07,0.11,0.46,0.04,0.0,0.11,0.0,0.0,0.07
10,0Uv4lJsu0Jw_565.mp3,E,"49% Calm, relaxing, serene, 43% Beautiful, 35% Dreamy, 24% Tender, longing, 19% Bittersweet, 19% Compassionate, sympathetic, 16% Romantic, loving, 14% Joyful, cheerful, 14% Sad, depressing, 14% Transcendent, mystical, 11% Awe-inspiring, amazing, 11% Entrancing, 5% Amusing, 3% Eerie, mysterious, 3% Erotic, desirous, 3% Euphoric, ecstatic, 3% Triumphant, heroic",3.9,5.3,5.2,5.3,3.4,6.2,5.6,3.1,6.1,6.1,5.3,https://www.youtube.com/watch?v=0Uv4lJsu0Jw,0.05,0.0,0.0,0.43,0.49,0.35,0.0,0.03,0.0,0.14,0.14,0.0,0.03
